Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSQF,NewHouse,SummerSale,Season,RemodelAge,GarageAgeInv,GarageIdx,HouseAge,LargeHouse,SQFperRoom,HasPool,PrchSQ,time_index,neighborhood_index
1461,20,RH,80.0,11622,Pave,,Reg,Lvl,4.0,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,2,2,CBlock,2.0,2.0,1.0,2.0,468.0,1.0,144.0,270.0,882.0,GasA,2,1,SBrkr,896,0,0,896,0.0,0.0,1,0,2,1,2.0,5,7.0,0,0.0,Attchd,2.0,1.0,730.0,2.0,2.0,2,140,0,0,0,120,0,0.0,4.0,,0,6,2010,WD,Normal,105000,1778.0,False,True,1,49,0.02,0.04,49,False,355.6,False,120,0.9844289756740263,0.9252844684344167
1462,20,RL,81.0,14267,Pave,,IR1,Lvl,4.0,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,5.0,108.0,2,2,CBlock,2.0,2.0,1.0,3.0,923.0,1.0,0.0,406.0,1329.0,GasA,2,1,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,3.0,6,7.0,0,0.0,Attchd,2.0,1.0,312.0,2.0,2.0,2,393,36,0,0,0,0,0.0,0.0,Gar2,12500,6,2010,WD,Normal,172000,2658.0,False,True,1,52,0.018867924528301883,0.037735849056603765,52,False,443.0,False,36,0.9844289756740263,0.9252844684344167
1463,60,RL,74.0,13830,Pave,,IR1,Lvl,4.0,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,2,2,PConc,3.0,2.0,1.0,3.0,791.0,1.0,0.0,137.0,928.0,GasA,3,1,SBrkr,928,701,0,1629,0.0,0.0,2,1,3,1,2.0,6,7.0,1,2.0,Attchd,4.0,2.0,482.0,2.0,2.0,2,212,34,0,0,0,0,0.0,4.0,,0,3,2010,WD,Normal,189900,2557.0,False,False,0,12,0.07142857142857141,0.5714285714285713,13,False,426.1666666666667,False,34,0.9902350745897145,1.1037830103946835
1464,60,RL,78.0,9978,Pave,,IR1,Lvl,4.0,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,Gable,CompShg,VinylSd,VinylSd,5.0,20.0,2,2,PConc,2.0,2.0,1.0,3.0,602.0,1.0,0.0,324.0,926.0,GasA,3,1,SBrkr,926,678,0,1604,0.0,0.0,2,1,3,1,3.0,7,7.0,1,3.0,Attchd,4.0,2.0,470.0,2.0,2.0,2,360,36,0,0,0,0,0.0,0.0,,0,6,2010,WD,Normal,195500,2530.0,False,True,1,12,0.07692307692307693,0.6153846153846154,12,False,361.42857142857144,False,36,0.9844289756740263,1.1037830103946835
1465,120,RL,43.0,5005,Pave,,IR1,HLS,4.0,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,3,2,PConc,3.0,2.0,1.0,3.0,263.0,1.0,0.0,1017.0,1280.0,GasA,3,1,SBrkr,1280,0,0,1280,0.0,0.0,2,0,2,1,3.0,5,7.0,0,0.0,Attchd,3.0,2.0,506.0,2.0,2.0,2,0,82,0,0,144,0,0.0,0.0,,0,1,2010,WD,Normal,191500,2560.0,False,False,0,18,0.05263157894736843,0.3157894736842106,18,False,512.0,False,226,0.9902350745897145,1.2738683128390236
1466,60,RL,75.0,10000,Pave,,IR1,Lvl,4.0,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,2,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,763.0,763.0,GasA,3,1,SBrkr,763,892,0,1655,0.0,0.0,2,1,3,1,2.0,7,7.0,1,2.0,Attchd,4.0,2.0,440.0,2.0,2.0,2,157,84,0,0,0,0,0.0,0.0,,0,4,2010,WD,Normal,175900,2418.0,False,True,1,16,0.055555555555555566,0.44444444444444453,17,False,345.42857142857144,False,84,0.9844289756740263,1.1037830103946835
1467,20,RL,,7980,Pave,,IR1,Lvl,4.0,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,2,3,PConc,3.0,2.0,1.0,3.0,935.0,1.0,0.0,233.0,1168.0,GasA,3,1,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,2.0,6,7.0,0,0.0,Attchd,4.0,2.0,420.0,2.0,2.0,2,483,21,0,0,0,0,0.0,5.0,Shed,500,3,2010,WD,Normal,185000,2355.0,False,False,0,3,0.05263157894736843,0.42105263157894746,18,False,392.5,False,21,0.9902350745897145,1.1037830103946835
1468,60,RL,63.0,8402,Pave,,IR1,Lvl,4.0,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,VinylSd,VinylSd,0.0,0.0,2,2,PConc,3.0,2.0,1.0,1.0,0.0,1.0,0.0,789.0,789.0,GasA,3,1,SBrkr,789,676,0,1465,0.0,0.0,2,1,3,1,2.0,7,7.0,1,3.0,Attchd,4.0,2.0,393.0,2.0,2.0,2,0,75,0,0,0,0,0.0,0.0,,0,5,2010,WD,Normal,180400,2254.0,False,True,1,12,0.07692307692307693,0.6153846153846154,12,False,322.0,False,75,0.9844289756740263,1.1037830103946835
1469,20,RL,85.0,10176,Pave,,Reg,Lvl,4.0,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,HdBoard,HdBoard,0.0,0.0,2,2,PConc,3.0,2.0,4.0,3.0,637.0,1.0,0.0,663.0,1300.0,GasA,3,1,SBrkr,1341,0,0,1341,1.0,0.0,1,1,2,1,3.0,5,7.0,1,1.0,Attchd,2.0,2.0,506.0,2.0,2.0,2,192,0,0,0,0,0,0.0,0.0,,0,2,2010,WD,Normal,171500,2641.0,False,False,0,20,0.047619047619047616,0.19047619047619047,20,False,528.2,False,0,0.9902350745897145,1.1037830103946835
1470,20,RL,70.0,8400,Pave,,Reg,Lvl,4.0,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,Gable,CompShg,Plywood,Plywood,0.0,0.0,2,2,CBlock,2.0,2.0,1.0,3.0,804.0,2.0,78.0,0.0,882.0,GasA,2,1,SBrkr,882,0,0,882,1.0,0.0,1,0,2,1,2.0,4,7.0,0,0.0,Attchd,4.0,2.0,525.0,2.0,2.0,2,240,0,0,0,0,0,0.0,4.0,,0,4,2010,WD,Normal,126000,1764.0,False,True,1,40,0.024390243902439022,0.19512195121951217,40,False,441.0,False,0,0.9844289756740263,0.9252844684344167
